id,wta_car,wta_elec,wta_green,province,weekday,ifsunny,location,aqi,income_level,living_area,female,marriage,education,youth,older_adults,partymember,age,heard_about_global_warming,know_about_low_carbon,know_about_carbon_neutrality,know_about_carbon_policy,carusetime,conditioner1month,mainuseelec,conditionernumber,publictrans,energy_consume2020,carown,conditioner1time,cityanswer,MADT ,impgreenele
1010,6,6,6,Hebei,Tuesday,1,county seat,80,2,100,1,married,senior high,0,0,0,61,no,never,never,never,0,3,1,1,0,3180,0,3,shijiazhuang,2,0
916,7,3,1,Beijing,Monday,1,city,48,3,40,1,widowed,senior high,0,1,0,63,yes but disagree,never,never,never,0,0,1,0,2,2600,0,0,beijing,2,1
160,7,7,3,Hebei,Saturday,1,county seat,85,3,140,0,married,associate,1,0,0,34,yes but disagree,heard but do not know,never,never,7,0,1,0,2,2708,1,0,chengde,3,1
801,7,7,7,Zhejiang,Sunday,0,city,52,6,80,1,married,bachelor,1,0,0,35,yes and agree,heard and know,heard but do not know,heard but do not know,3,3,1,1,3,3500,1,4,hangzhou,5,1
1241,4,2,1,Beijing,Thursday,1,city,19,3,54,1,married,associate,0,0,0,50,yes and agree,heard but do not know,never,never,0,4,1,1,6,1214,0,2,beijing,3,0
692,2,3,2,Zhejiang,Friday,1,city,140,4,75,1,married,bachelor,1,1,0,33,yes and agree,heard and know,never,never,4,7,1,1,0,1959,1,5,hangzhou,2,1
164,1,1,1,Beijing,Thursday,0,city,61,5,110,1,married,bachelor,1,1,0,27,yes and agree,familiar,familiar,familiar,5,3,1,1,2,3850,1,2,beijing,3,1
1338,7,4,3,Beijing,Friday,1,city,19,4,38,1,married,bachelor,1,1,0,41,yes but disagree,heard but do not know,heard but do not know,never,3,4,1,1,12,2800,1,4,beijing,5,1
1156,7,7,4,Hebei,Monday,1,county seat,61,4,100,0,married,senior high,1,0,0,31,yes and agree,heard but do not know,never,never,6,3,1,1,0,1650,1,5,shijiazhuang,3,0
3264,7,7,7,Guangdong,Thursday,1,county seat,62,6,74,1,married,senior high,1,0,0,40,no,heard but do not know,never,never,8,5,1,1,0,3500,1,5,zhongshan,3,1
3115,5,3,1,Guangdong,Wednesday,1,city,75,5,42,1,married,bachelor,1,0,0,34,yes and agree,heard and know,heard but do not know,never,0,1,1,1,12,4220,0,4,guangzhou,3,1
1421,6,6,6,Hebei,Saturday,1,rural,56,4,190,1,married,senior high,1,1,0,29,yes but disagree,heard but do not know,heard but do not know,never,3,3,1,1,0,3150,1,3,shijiazhuang,2,0
615,7,7,7,Hebei,Friday,1,county seat,63,5,130,1,married,junior high,0,0,0,50,yes and agree,never,never,never,0,2,1,1,5,4600,0,2,chengde,2,0
1330,4,7,5,Guangdong,Friday,0,county seat,34,4,70,1,married,associate,0,0,0,39,yes and agree,heard but do not know,never,never,1,5,1,1,0,4623,1,4,zhongshan,3,0
